Count:  116 | 32FF 1001011111111 Addr: 32FF | 007D | 01111101 | Data: 1 | Clock: 1 | Enable: 1
Count:  117 | 36FF 1011011111111 Addr: 36FF | 005D | 01011101 | Data: 1 | Clock: 0 | Enable: 1
Count:  118 | 33FF 1001111111111 Addr: 33FF | 0065 | 01100101 | Data: 0 | Clock: 1 | Enable: 1
Count:  119 | 37FF 1011111111111 Addr: 37FF | 0045 | 01000101 | Data: 0 | Clock: 0 | Enable: 1
Count:  120 | 38FF 1100011111111 Addr: 38FF | 0065 | 01100101 | Data: 0 | Clock: 1 | Enable: 1
Count:  121 | 3CFF 1110011111111 Addr: 3CFF | 0045 | 01000101 | Data: 0 | Clock: 0 | Enable: 1
Count:  122 | 39FF 1100111111111 Addr: 39FF | 0065 | 01100101 | Data: 0 | Clock: 1 | Enable: 1
Count:  123 | 3DFF 1110111111111 Addr: 3DFF | 0045 | 01000101 | Data: 0 | Clock: 0 | Enable: 1
Count:  124 | 3AFF 1101011111111 Addr: 3AFF | 0064 | 01100100 | Data: 0 | Clock: 1 | Enable: 1
Count:  125 | 3EFF 1111011111111 Addr: 3EFF | 0024 | 00100100 | Data: 0 | Clock: 1 | Enable: 0
Count:  126 | 3BFF 1101111111111 Addr: 3BFF | 0024 | 00100100 | Data: 0 | Clock: 1 | Enable: 0
Count:  127 | 3FFF 1111111111111 Addr: 3FFF | 00A4 | 10100100 | Data: 0 | Clock: 1 | Enable: 0
Count:  128 | 00FF 0000011111111 Addr: 00FF | 0025 | 00100101 | Data: 0 | Clock: 1 | Enable: 0
Count:  129 | 04FF 0010011111111 Addr: 04FF | 0025 | 00100101 | Data: 0 | Clock: 1 | Enable: 0
Count:  130 | 01FF 0000111111111 Addr: 01FF | 0025 | 00100101 | Data: 0 | Clock: 1 | Enable: 0
Count:  131 | 05FF 0010111111111 Addr: 05FF | 0065 | 01100101 | Data: 0 | Clock: 1 | Enable: 1
Count:  132 | 02FF 0001011111111 Addr: 02FF | 0065 | 01100101 | Data: 0 | Clock: 1 | Enable: 1
Count:  133 | 06FF 0011011111111 Addr: 06FF | 0045 | 01000101 | Data: 0 | Clock: 0 | Enable: 1
Count:  134 | 03FF 0001111111111 Addr: 03FF | 007D | 01111101 | Data: 1 | Clock: 1 | Enable: 1
Count:  135 | 07FF 0011111111111 Addr: 07FF | 005D | 01011101 | Data: 1 | Clock: 0 | Enable: 1
Count:  136 | 08FF 0100011111111 Addr: 08FF | 0065 | 01100101 | Data: 0 | Clock: 1 | Enable: 1
Count:  137 | 0CFF 0110011111111 Addr: 0CFF | 0045 | 01000101 | Data: 0 | Clock: 0 | Enable: 1
Count:  138 | 09FF 0100111111111 Addr: 09FF | 007D | 01111101 | Data: 1 | Clock: 1 | Enable: 1
